cert,asset_16
14,239202604
35,832656
39,270432
41,173905
46,270174
47,371463
49,63721
50,142080
51,143164
52,211915
54,272932
58,558328
70,60630
72,244930
77,168012
81,132141
88,403479
89,526200
90,194907
93,58742
94,111117
99,105927
101,81792
105,110732
107,46330
109,184735
110,18874479
131,4680554
147,239085
148,219362
149,134569
155,149516
160,237647
169,251454
170,63655
172,1246496
175,151269
178,68359
183,105348
193,542188
197,303448
210,187347
214,302337
223,35409
225,37431
226,120974
228,848982
230,160388
231,171088
232,90652
234,101167
235,118660
245,248762
248,122267
251,67994
252,184499
253,870820
254,206623
255,155950
256,68964
258,3037007
262,142166
266,129543
267,177202
275,176907
281,129329
284,76591
287,958756
288,48201
289,193915
291,127157
292,572243
296,214498
297,109123
303,283094
304,61343
306,238804
307,116592
310,154770
314,41316
321,109916
324,405496
327,85257
340,684863
341,90775
342,364715
352,148088
358,33986
363,297211
384,939427
389,55626
399,27381
402,189091
404,94558
406,91841
414,261097
418,85853
419,278228
420,38985
421,179556
422,82414
428,58555
429,76431
432,102059
444,322101
445,379732
484,66611
485,164461
492,34726
496,156205
501,102258
504,84283
505,99736
526,25793
529,167363
571,342222
588,122631667
597,1655664
609,1962318
618,210569
622,4054627
623,53814000
628,2082803000
639,257576000
659,3678230
660,1135624
686,669224
698,1110209
713,1412693
734,1025918
737,142231
741,52815
763,465950
769,274556
803,9760557
823,364306
829,171325
845,265635
847,62521
850,171829
855,62050
861,227315
862,97915
867,200557635
872,219531
873,29874612
876,116074
877,174889
878,2395257
879,126226
884,63686
889,51542
893,569317
898,158482
899,78738
902,235712
903,928505
913,123547932
920,48658
924,344748
925,86013
926,247662
931,46811
938,81022
939,48416
950,301651
951,212400
953,4121209
954,204508
955,256962
956,176616
958,1402559
961,318817
963,228703
966,46791
968,198284
969,117737
976,98641
977,269024
982,324956
983,73018220
999,62307
1001,114443
1003,17284293
1005,1677874
1008,70874
1014,603892
1022,280385
1027,473604
1028,150968
1039,1712246
1040,3230875
1047,286253
1049,209552
1051,57929
1058,1842691
1060,650586
1068,756165
1071,574802
1073,533518
1086,246805
1090,181412
1091,62919
1092,89037
1095,258769
1098,69259
1100,254007
1105,9038469
1114,58844
1116,120509
1117,650765
1118,103951
1122,354490
1125,155995
1141,129812
1143,863544
1147,366623
1149,266289
1150,133002
1163,72288
1164,719690
1165,86453
1167,149769
1168,146640
1169,181420
1184,441480
1198,174508
1208,1826311
1209,668685
1210,393592
1213,145970
1218,121245
1219,412772
1225,6729058
1237,218426
1250,88089
1265,1453209
1281,5664658
1291,1317074
1294,421173
1296,199231
1299,449036
1331,2921775
1364,75899
1365,458171
1373,312950
1374,75479
1376,281264
1380,115948
1383,112442
1386,26385
1388,26029
1390,301057
1391,51749
1399,1717614
1401,49134
1402,708184
1409,157689
1413,98760
1414,1916063
1415,109877
1417,175003
1418,130616
1421,34475
1426,734945
1427,59268
1434,153031
1435,797634
1436,21732
