cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,nimy,roa,ntlnlsr,rbc1aaj,rbcrwaj
14,14278,1111435,35301,1,State Street Bank and Trust Company,Boston,MA,2111,12/31/2016,SM,1.16067898379865,0.928457046448283,1.37525113549516E-02,7.10092355542606,17.7417301676376
35,9177,1129533,749635,0,AuburnBank,Auburn,AL,36830,12/31/2016,SM,2.93450691513068,0.933315392008,-0.194695374836168,10.1369480795158,17.6838857251781
39,14095,2526755,430036,0,Robertson Banking Company,Demopolis,AL,36732,12/31/2016,NM,4.03541575461006,1.41303971749512,0.23032057036435,10.6421385539958,15.6259288553479
41,14012,2013246,432432,0,Phenix-Girard Bank,Phenix City,AL,36867,12/31/2016,NM,2.98577558988535,1.04797572014458,0.5596200817187,15.629309760123,29.3171948627922
46,0,1082955,113937,0,Merchants Bank of Alabama,Cullman,AL,35055,12/31/2016,NM,3.62388979337913,0.610561701717849,9.42941825586344E-02,9.54822982047366,16.4138285967338
47,16141,3467305,390336,0,Traders & Farmers Bank,Haleyville,AL,35565,12/31/2016,NM,3.51045564553798,0.770894624015862,0.395698831757743,15.0688255007612,27.6367449230523
49,0,0,560438,0,Bank of Evergreen,Evergreen,AL,36401,12/31/2016,NM,4.46594398230661,1.13594568291818,0.34896637143784,10.9674245910223,19.2874468584544
50,13450,3587294,470032,0,Community Spirit Bank,Red Bay,AL,35582,12/31/2016,NM,4.34184593579961,0.740464692001452,0.274018578034756,10.4610177077797,16.7259599743937
51,14338,1139998,382537,0,The Bank of Vernon,Vernon,AL,35592,12/31/2016,NM,4.31596185955053,0.793626546981581,0.463319113224701,16.6563428706649,23.9828287049348
52,12748,1833616,293437,0,The Citizens Bank of Winfield,Winfield,AL,35594,12/31/2016,NM,3.9357034567926,1.74927901023494,1.09698927864385,22.6671392579678,44.6637923126319
54,9285,1079067,672537,0,The Exchange Bank of Alabama,Altoona,AL,35952,12/31/2016,NM,3.24844192720224,0.819054589288789,2.65236639307106E-02,12.5032014631137,20.2675813242747
58,13590,1083895,994435,0,United Bank,Atmore,AL,36502,12/31/2016,NM,3.50871316821277,0.694146059054585,3.70567507293442E-02,8.51326931873323,15.2015594586746
70,0,1138870,42037,0,Peoples Exchange Bank of Monroe County,Monroeville,AL,36460,12/31/2016,NM,4.14096171723147,0.575561900388989,4.30079779799153E-02,14.8987155728801,21.664692340359
72,9282,1084593,353238,0,Central State Bank,Calera,AL,35040,12/31/2016,SM,4.44438392339789,1.39798989856265,0.105986094624385,11.7265338227583,17.4669174295296
77,10489,1084061,194936,0,BankSouth,Dothan,AL,36303,12/31/2016,NM,3.53314197006532,1.27479069156515,-2.45552522940558E-02,20.1970128807184,32.1745851249067
81,13922,0,748441,0,Warren Bank and Trust Company,Warren,AR,71671,12/31/2016,SM,3.06020484636523,0.902701324502335,0.162525454354248,16.0445437561815,44.0965000891319
88,10660,2352196,329345,0,Generations Bank,Hampton,AR,71744,12/31/2016,NM,3.99480727245558,0.73550811586359,0.351545618150505,9.40764350514214,13.4716851875029
89,10291,3306589,3350724,0,Signature Bank of Arkansas,Fayetteville,AR,72703,12/31/2016,NM,4.3404617064354,0.756895006500323,0.791982245799092,12.5137895832068,14.9091235701317
90,12628,1098198,23643,0,Commercial Bank & Trust Company,Monticello,AR,71655,12/31/2016,SM,3.95414006610461,1.48935041648769,0.297532156717625,9.73429743037312,16.6323336198926
93,12630,2155342,977045,0,Riverside Bank,Sparkman,AR,71763,12/31/2016,NM,4.81124822834574,2.35145427635408,0.336678804658581,8.72103722291928,12.9802227779041
94,0,1097463,843542,0,First State Bank of Warren,Warren,AR,71671,12/31/2016,SM,2.77398542475825,0.47448549926023,0.271451167501031,10.7174912534574,20.5337461508691
99,0,0,455945,0,Bank of Delight,Delight,AR,71940,12/31/2016,NM,3.58820735916419,1.42306810643697,0.053282481281023,17.4455369192211,23.4710353736089
101,12621,2236586,967943,0,Bank of Prescott,Prescott,AR,71857,12/31/2016,NM,3.68936813075394,1.07263400774203,4.02733216093219E-02,12.8383539408985,19.4146242657484
105,13834,1099663,629148,0,Bank of Cave City,Cave City,AR,72521,12/31/2016,SM,4.50515781649414,1.28893725232329,0.300198355361907,8.43074710524375,15.1818111033248
107,0,1099252,691042,0,The Merchants & Planters Bank,Clarendon,AR,72029,12/31/2016,NM,2.77361009786783,0.570026946728391,0.419255250219156,11.0454069978439,28.5226533709083
109,0,1139091,458142,0,Horatio State Bank,Horatio,AR,71842,12/31/2016,NM,4.54524322951869,1.43901912413923,0.292649390546031,10.7252827153897,17.6638104626376
110,9592,1097089,107244,0,Bank of the Ozarks,Little Rock,AR,72223,12/31/2016,NM,4.84545342289952,2.02374732857972,7.22923899919432E-02,13.7710057515869,11.8460957856751
131,0,3962640,34537,0,Seacoast National Bank,Stuart,FL,34994,12/31/2016,N,3.69068850587966,0.725316067282047,-7.17182632233679E-02,8.77721359742621,12.749698108062
147,0,2043850,944337,0,Century Bank and Trust,Milledgeville,GA,31061,12/31/2016,NM,3.84741183481265,0.98341653582404,0.120901942306975,10.9465641263632,16.6706697676053
148,11273,1135105,752831,0,Bank of Madison,Madison,GA,30650,12/31/2016,NM,3.88636894974132,1.06222173492156,9.75356516404081E-02,13.5781176373709,21.6534675246109
149,0,3140961,628039,0,Bank of Hazlehurst,Hazlehurst,GA,31539,12/31/2016,NM,4.01883212201497,1.34350351044466,1.7307240458006,11.2213484515972,18.9139272993296
155,14550,3194076,986935,0,Bank of Alapaha,Alapaha,GA,31622,12/31/2016,NM,3.83238585960691,0.916699381071306,5.04232527838678E-02,11.0664953421137,13.1697604965743
160,12322,1085862,613839,0,Exchange Bank,Milledgeville,GA,31061,12/31/2016,NM,4.13174973676833,1.11372514052313,-2.26004703911237E-03,12.6423226375715,21.2016972065693
169,12439,0,563233,0,First National Bank of Griffin,Griffin,GA,30224,12/31/2016,N,3.25191630026746,0.336401930338315,0.149663007121548,5.16940819756259,10.5229338589385
170,0,0,272030,0,The Peoples Bank of Talbotton,Talbotton,GA,31827,12/31/2016,NM,5.25100780810409,0.689879912360984,-4.39730988101397E-02,9.53252000190873,14.6339211522482
172,10091,1082777,37435,0,United Bank,Zebulon,GA,30295,12/31/2016,NM,3.71603256795603,1.83237697901622,-0.105253351681847,10.0110591605114,18.2832237370124
175,0,1417418,469737,0,The Commercial Bank,Crawford,GA,30630,12/31/2016,NM,4.16720826447304,2.00913228412808,8.88574950734705E-02,10.1515389111437,17.3793041038867
178,9191,1249020,577230,0,Talbot State Bank,Woodland,GA,31836,12/31/2016,NM,3.0718089475209,0.246987458682527,0.176003361096444,8.38333793424092,20.7144302772718
183,0,0,784430,0,The Merchants & Citizens Bank,Mcrae,GA,31055,12/31/2016,NM,3.14004757208331,0.68481872885669,0.808325755279378,14.28928688225,31.6271463614064
193,0,1086748,507330,0,The Heritage Bank,Hinesville,GA,31313,12/31/2016,NM,3.08195969890271,0.392157599274283,3.98374021646556,9.16615863471303,15.6556793364101
197,9807,1138405,493741,0,Alliance Bank,Francesville,IN,47946,12/31/2016,NM,3.51112127249567,1.39048894842599,-2.11451232096122E-02,10.8842140001953,17.4793423673371
210,9713,1205286,914545,0,Tri-County Bank & Trust Company,Roachdale,IN,46172,12/31/2016,NM,2.86737205158513,0.780288610979821,2.80192670669177E-02,12.1510438959433,24.8534547589859
214,10977,1207468,433943,0,Washington State Bank,Washington,IA,52353,12/31/2016,SM,3.64834483179322,1.35066401397436,0.231644876431774,11.9146509209246,18.7178790945669
223,0,1143212,868442,0,Manson State Bank,Manson,IA,50563,12/31/2016,NM,2.88718091672972,0.880425212769427,0,10.9664076910178,19.9159170903402
225,0,1203910,868844,1,Peoples Savings Bank,Crawfordsville,IA,52621,12/31/2016,NM,3.25245617527548,2.05781560004591,-1.8760608677526,9.14750957854406,13.7585759317634
226,0,1208380,969844,0,Guthrie County State Bank,Panora,IA,50216,12/31/2016,NM,3.82340860112198,0.387077614066934,0.210853958532055,9.80968743804929,14.4913809433605
228,12625,1201457,735441,1,American State Bank,Sioux Center,IA,51250,12/31/2016,NM,3.49162282596275,1.6435081428358,0.249170653258768,11.6093319031566,14.5000710359223
230,16077,1131424,849348,0,Community State Bank,Spencer,IA,51301,12/31/2016,NM,3.24813054025225,1.49255697536556,5.96649481688385E-02,9.97348535916745,17.9799959087434
231,0,1132971,194440,0,Commercial Savings Bank,Carroll,IA,51401,12/31/2016,SM,3.23034984098137,1.28416746992164,-1.81572940444076E-02,7.81687181026719,12.0205029206677
